Date/Time,"Pitch, Roll, Yaw",Magnetometer,Coordinates,Ndvi Values
2022-04-12 22:10:12.429722,"{'roll': 225.93919165038912, 'pitch': 299.9071145878249, 'yaw': 144.43986818971388}",144.43986818971388,"{'latitude': '28/1,5/1,498/10', 'latitudeRef': 'S', 'longitude': '101/1,22/1,268/10', 'longitudeRef': 'E'}","[-0.07685837994036054, 0.49169250502331224, 0.4391289948752729, -0.20405564506378587]"
2022-04-12 22:10:17.693993,"{'roll': 225.93920531076745, 'pitch': 299.9071077576357, 'yaw': 144.43607060453536}",144.42448660370303,"{'latitude': '27/1,35/1,27/10', 'latitudeRef': 'S', 'longitude': '101/1,53/1,416/10', 'longitudeRef': 'E'}",/
2022-04-12 22:10:20.685332,"{'roll': 225.93919165038912, 'pitch': 299.9071077576357, 'yaw': 144.42257415073541}",144.40652320618588,"{'latitude': '27/1,26/1,434/10', 'latitudeRef': 'S', 'longitude': '102/1,2/1,37/10', 'longitudeRef': 'E'}",/
2022-04-12 22:10:23.688027,"{'roll': 225.93919165038912, 'pitch': 299.90710092744655, 'yaw': 144.39989792269097}",144.39238471460396,"{'latitude': '27/1,18/1,217/10', 'latitudeRef': 'S', 'longitude': '102/1,10/1,261/10', 'longitudeRef': 'E'}",/
2022-04-12 22:10:32.168713,"{'roll': 225.93919165038912, 'pitch': 299.9070872670682, 'yaw': 144.3939693184914}",144.40275294176405,"{'latitude': '27/1,10/1,131/10', 'latitudeRef': 'S', 'longitude': '102/1,18/1,336/10', 'longitudeRef': 'E'}","[-0.34929908058289855, 0.13663543189044144, 0.12162941541827484, -0.3986662965227617]"
2022-04-12 22:10:37.709347,"{'roll': 225.93920531076745, 'pitch': 299.90710092744655, 'yaw': 144.40788924401988}",144.42077098079454,"{'latitude': '26/1,39/1,107/10', 'latitudeRef': 'S', 'longitude': '102/1,49/1,149/10', 'longitudeRef': 'E'}",/
2022-04-12 22:10:40.700110,"{'roll': 225.93919165038912, 'pitch': 299.90710092744655, 'yaw': 144.42314788662569}",144.4280246416931,"{'latitude': '26/1,30/1,476/10', 'latitudeRef': 'S', 'longitude': '102/1,57/1,279/10', 'longitudeRef': 'E'}",/
2022-04-12 22:10:43.712072,"{'roll': 225.93919165038912, 'pitch': 299.90709409725736, 'yaw': 144.42398116970443}",144.39685165832114,"{'latitude': '26/1,22/1,204/10', 'latitudeRef': 'S', 'longitude': '103/1,5/1,430/10', 'longitudeRef': 'E'}",/
2022-04-12 22:10:52.142758,"{'roll': 225.93920531076745, 'pitch': 299.90709409725736, 'yaw': 144.3860872801892}",144.3539034288201,"{'latitude': '26/1,14/1,96/10', 'latitudeRef': 'S', 'longitude': '103/1,13/1,404/10', 'longitudeRef': 'E'}","[-0.3299068311165442, 0.14357391484200185, 0.13210545892909228, -0.3709565482436666]"
2022-04-12 22:10:57.724710,"{'roll': 225.93920531076745, 'pitch': 299.907080436879, 'yaw': 144.34670440943492}",144.31983444524008,"{'latitude': '25/1,42/1,528/10', 'latitudeRef': 'S', 'longitude': '103/1,43/1,498/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:00.714763,"{'roll': 225.93921897114578, 'pitch': 299.9070736066899, 'yaw': 144.31057270872554}",144.27558847979674,"{'latitude': '25/1,34/1,259/10', 'latitudeRef': 'S', 'longitude': '103/1,51/1,544/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:03.726969,"{'roll': 225.93923263152413, 'pitch': 299.90709409725736, 'yaw': 144.26623112063382}",144.22989451424937,"{'latitude': '25/1,25/1,550/10', 'latitudeRef': 'S', 'longitude': '104/1,0/1,10/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:12.080096,"{'roll': 225.93923263152413, 'pitch': 299.9070599463115, 'yaw': 144.2207693815182}",144.18730145458517,"{'latitude': '25/1,17/1,406/10', 'latitudeRef': 'S', 'longitude': '104/1,7/1,502/10', 'longitudeRef': 'E'}","[-0.3644635229799087, 0.14046718835872798, 0.12408582110373827, -0.3776968626810499]"
2022-04-12 22:11:17.738665,"{'roll': 225.93921897114578, 'pitch': 299.9070736066899, 'yaw': 144.17405088759534}",144.1353783565147,"{'latitude': '24/1,46/1,103/10', 'latitudeRef': 'S', 'longitude': '104/1,37/1,292/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:20.730186,"{'roll': 225.93920531076745, 'pitch': 299.9070872670682, 'yaw': 144.1232206197921}",144.0880724663232,"{'latitude': '24/1,37/1,398/10', 'latitudeRef': 'S', 'longitude': '104/1,45/1,257/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:23.740108,"{'roll': 225.93919165038912, 'pitch': 299.9070872670682, 'yaw': 144.07183027647693}",144.03642257581959,"{'latitude': '24/1,29/1,54/10', 'latitudeRef': 'S', 'longitude': '104/1,53/1,242/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:32.096617,"{'roll': 225.93919165038912, 'pitch': 299.9070872670682, 'yaw': 144.02604068828114}",143.9966708748501,"{'latitude': '24/1,20/1,475/10', 'latitudeRef': 'S', 'longitude': '105/1,1/1,58/10', 'longitudeRef': 'E'}","[-0.3442931016781948, 0.14588282236883499, 0.121138163521831, -0.37821880329340013]"
2022-04-12 22:11:37.754053,"{'roll': 225.93919165038912, 'pitch': 299.907080436879, 'yaw': 143.98829706292767}",143.9730247599435,"{'latitude': '23/1,49/1,45/10', 'latitudeRef': 'S', 'longitude': '105/1,30/1,159/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:40.744606,"{'roll': 225.93919165038912, 'pitch': 299.9070872670682, 'yaw': 143.9730247599435}",144.00003132792176,"{'latitude': '23/1,40/1,306/10', 'latitudeRef': 'S', 'longitude': '105/1,38/1,48/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:43.754798,"{'roll': 225.93920531076745, 'pitch': 299.90710092744655, 'yaw': 144.0129813665881}",144.03180536794065,"{'latitude': '23/1,31/1,528/10', 'latitudeRef': 'S', 'longitude': '105/1,45/1,557/10', 'longitudeRef': 'E'}",/
2022-04-12 22:11:52.135089,"{'roll': 225.93917799001076, 'pitch': 299.9070872670682, 'yaw': 144.03180536794065}",144.02766627330362,"{'latitude': '23/1,23/1,317/10', 'latitudeRef': 'S', 'longitude': '105/1,53/1,299/10', 'longitudeRef': 'E'}","[-0.33980026038607114, 0.1386759667302585, 0.11869985280584953, -0.3931214862636545]"
2022-04-12 22:11:57.756662,"{'roll': 225.93920531076745, 'pitch': 299.907080436879, 'yaw': 144.0244151032587}",143.98536008158456,"{'latitude': '22/1,51/1,388/10', 'latitudeRef': 'S', 'longitude': '106/1,22/1,108/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:00.759576,"{'roll': 225.93919165038912, 'pitch': 299.90709409725736, 'yaw': 143.96975992952025}",143.93944754998373,"{'latitude': '22/1,42/1,596/10', 'latitudeRef': 'S', 'longitude': '106/1,29/1,542/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:03.770374,"{'roll': 225.93920531076745, 'pitch': 299.90709409725736, 'yaw': 143.92592377542712}",143.87218384703746,"{'latitude': '22/1,34/1,187/10', 'latitudeRef': 'S', 'longitude': '106/1,37/1,379/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:12.184105,"{'roll': 225.93919165038912, 'pitch': 299.9070872670682, 'yaw': 143.8530593173614}",143.79621848308858,"{'latitude': '22/1,25/1,545/10', 'latitudeRef': 'S', 'longitude': '106/1,45/1,52/10', 'longitudeRef': 'E'}","[-0.3628593758624287, 0.10415282653216384, 0.10939234607385871, -0.4092915998639208]"
2022-04-12 22:12:17.770778,"{'roll': 225.93919165038912, 'pitch': 299.9070872670682, 'yaw': 143.77563229293014}",143.73066232743477,"{'latitude': '21/1,53/1,502/10', 'latitudeRef': 'S', 'longitude': '107/1,13/1,201/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:20.773658,"{'roll': 225.93919165038912, 'pitch': 299.9071077576357, 'yaw': 143.7175620246067}",143.68164888995076,"{'latitude': '21/1,45/1,81/10', 'latitudeRef': 'S', 'longitude': '107/1,20/1,567/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:23.783807,"{'roll': 225.93920531076745, 'pitch': 299.90709409725736, 'yaw': 143.67324775727167}",143.64475220805437,"{'latitude': '21/1,36/1,242/10', 'latitudeRef': 'S', 'longitude': '107/1,28/1,335/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:32.229151,"{'roll': 225.93921897114578, 'pitch': 299.90710092744655, 'yaw': 143.6332228487354}",143.59564314792198,"{'latitude': '21/1,27/1,571/10', 'latitudeRef': 'S', 'longitude': '107/1,35/1,543/10', 'longitudeRef': 'E'}","[-0.32477569584165383, 0.11689880108515026, 0.10613900909539607, -0.4241972871566737]"
2022-04-12 22:12:37.785338,"{'roll': 225.93920531076745, 'pitch': 299.9070736066899, 'yaw': 143.58457824146655}",143.56309046633768,"{'latitude': '20/1,55/1,421/10', 'latitudeRef': 'S', 'longitude': '108/1,3/1,447/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:40.787441,"{'roll': 225.93923263152413, 'pitch': 299.9070736066899, 'yaw': 143.55833665467537}",143.56120533412675,"{'latitude': '20/1,46/1,572/10', 'latitudeRef': 'S', 'longitude': '108/1,11/1,148/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:43.799475,"{'roll': 225.93923263152413, 'pitch': 299.9070736066899, 'yaw': 143.56120533412675}",143.55586412619581,"{'latitude': '20/1,38/1,104/10', 'latitudeRef': 'S', 'longitude': '108/1,18/1,452/10', 'longitudeRef': 'E'}",/
2022-04-12 22:12:52.211974,"{'roll': 225.93923263152413, 'pitch': 299.9070736066899, 'yaw': 143.55253099388085}",143.54997650313126,"{'latitude': '20/1,29/1,407/10', 'latitudeRef': 'S', 'longitude': '108/1,25/1,597/10', 'longitudeRef': 'E'}","[-0.08129884372354088, 0.07956986987764646, 0.14460717371053083, -0.28895027701686515]"
2022-04-12 22:12:57.799865,"{'roll': 225.93924629190246, 'pitch': 299.90709409725736, 'yaw': 143.5455505405491}",143.52870729405583,"{'latitude': '19/1,57/1,157/10', 'latitudeRef': 'S', 'longitude': '108/1,53/1,271/10', 'longitudeRef': 'E'}",/
2022-04-12 22:13:00.810700,"{'roll': 225.93923263152413, 'pitch': 299.9070667765007, 'yaw': 143.52542880325424}",143.51549770820105,"{'latitude': '19/1,48/1,266/10', 'latitudeRef': 'S', 'longitude': '109/1,0/1,522/10', 'longitudeRef': 'E'}",/
